yr to habitable,yr to life,yr to complex,yr intelligence,yr culture,yr tech,tech lifespan,mass extinction,yr star life,life?
1836398789,952736948,789747938,210833869,24889051,207933,2043,2944913633,0,0
2392512210,912623000,1018221078,171323015,15662440,200075,178,4406714103,0,0
2355148269,1082823071,1108237021,78344696,23100109,222034,3114,3584718926,0,0
1722832308,703001255,875151490,129137093,16445210,195337,4138,3832491488,0,0
1834923745,1087570194,978035095,160107947,17131841,244327,1181,3263345940,0,0
2359043056,1230131714,980250793,160612986,21347075,225737,5754,3926612113,0,0
1140046194,1202112630,1198760427,238714029,13020179,149426,0,4042790969,0,0
1690402811,760004849,1316003610,188940425,22487846,149449,46,4493198629,0,0
1797424206,701497256,1212446398,234906996,20522125,212621,3727,4211254472,0,0
2339574910,819247132,887228669,234512280,21213184,198424,0,3764457385,0,0
2290241620,1022332763,1019055573,231928511,22838971,122309,90,4516572508,0,0
2162058981,1072794986,728858728,128962361,22878792,172614,66,3654534161,0,0
1358223085,983540600,1074878841,241863556,23900136,165645,3637,3537810901,0,0
1260963246,822975691,686686596,193890996,21390477,209796,176,4432360819,78466460279,1
2151025394,714753281,1005212593,229079350,21830951,167767,276,4123669203,0,0
1739729252,840216128,910850182,235361044,21726764,208290,974,4248217526,0,0
2740589930,933436533,606966926,197380904,15505673,182365,0,4197785731,0,0
994726522,920900870,1053524089,234906071,24190969,211503,5145,3427426842,0,0
2103948962,749288562,1119643885,276215854,17473965,228542,17860,3839111524,0,0
1776647035,1065817201,902932478,233791277,27280015,250238,1144,2949099681,0,0
2162832350,539770006,1071551134,193547259,24945583,123764,5004,3591263490,0,0
2922597960,1056755205,1172136264,206423269,16266234,244152,1,3292082450,0,0
2236100306,1014224639,1253574980,181081425,19512374,189839,28,3316886371,0,0
2143944900,1542122059,1013649593,183307617,18090623,209716,109,3699396892,0,0
1776156997,906702993,1168451336,200168903,25249409,142656,504,2855905145,0,0
2456469952,976233927,920927047,169280701,16006637,250199,19,4545189931,0,0
1922211627,966698112,791698010,173780584,14462602,157909,19,3960101364,0,0
1271529327,912857053,1030207768,178990484,22022756,182719,785,4128903703,0,0
1665875811,1152750949,1222409868,259611649,21736785,227230,4,4764120913,0,0
2207248860,1008988715,925325680,212553278,24067881,206390,64,3901572480,0,0
1733316263,909911760,981244347,236087356,24302954,156429,1684,4591457505,0,0
1508627552,1078002685,1054397299,123218728,19930389,264960,1124,3346299577,0,0
3274139521,1194494058,1192230936,166049154,17857274,254371,908,3102896757,0,0
2012913615,1414342842,1301649251,206219795,23495593,230442,608,3656912780,0,0
1372089462,1354528142,969227012,201364807,16100186,192011,1,4340457759,0,0
1956769597,1346156838,939364134,151757482,19516933,146405,225,3708647174,45500649306,0
2490267824,1233098506,1020538008,157281189,28134819,195283,29,4015122909,0,0
2506884008,1368224419,1097764518,236899539,19286134,260764,4688,4434311769,0,0
1817999925,1020851019,1044186965,237335661,25125137,265851,1321,3668452412,0,0
2110099069,711460691,910996712,241267311,26698273,262546,1911,4534661825,0,0
1793945511,1091236111,985281138,224837840,22845821,239112,466,2917313568,0,0
2492423984,1007509422,1016217430,187744029,18578225,223947,10045,3556554436,0,0
1911298753,671976407,986342097,199284850,23384828,248181,2281,3394584756,0,0
1881610451,1128637625,830914074,212862919,22134963,215554,368,3975643194,0,0
1631728495,1218587468,868513550,208066196,20803269,187579,4937,3444350466,0,0
2774574138,765671666,922100742,292773783,23609484,228902,114,4050069826,13798484383,0
2492120518,1204503228,1266640219,206328202,24082132,162158,7466,3554300038,0,0
1887279739,1229177677,1139414914,261544609,22678330,194445,10,3339011329,0,0
1646145443,1038206570,1332801209,207875874,15617405,155986,38,3361351351,0,0
2221904055,865869797,709824752,257842011,26990978,201844,124,2417830665,0,0
1795697305,775875675,1064974718,212667975,20112112,196110,1274,2897417567,0,0
2297813971,624219970,1107527648,257357478,25693865,247803,0,4076565074,0,0
2158372192,890037240,1061702323,130937058,19374140,222130,1592,3539934435,0,0
1962488570,957234356,1125924661,187641634,18923275,175725,130,4117191682,0,0
1377714877,1158391379,1270546642,230666841,22351798,159955,1003,3407342225,10025629937,0
1758883394,951161958,834921017,222154837,19061565,170816,5,3793961287,0,0
2197755547,1186804918,937308756,244400529,21148846,160949,33,3795771052,0,0
1444681493,906968713,1231766200,182418468,22159035,189683,2510,3777443600,0,0
2697661137,1231489401,1198105522,193942126,24241320,254111,483,3447579501,0,0
2007409311,994356357,868426037,179972436,22922058,110049,78,3533807448,0,0
2175955278,997375241,998421778,249614940,17982013,205710,16,3539017529,0,0
2062841670,1113294224,689814992,183967797,23437623,153010,358,4110062816,0,0
1398446499,905541623,1183738045,166509553,13368532,194819,600,3156106387,0,0
2031329884,945519855,671873249,167508932,23897025,144953,8358,3993330797,0,0
2267745993,892923379,1090988891,149744122,23034955,191459,2264,2925037787,0,0
1964069285,1284788118,1107271290,199174417,16934870,190912,9421,3927079926,0,0
1757406726,733736148,1012984855,180217777,11044142,162852,1005,4065564544,0,0
2366396191,1117545023,616713574,214485152,24267992,183041,371,4148724410,70261848458,0
2883471562,1047725690,1230740122,248603035,24832019,40191,207,3739803524,0,0
2480642546,789568813,854166889,172130832,17158989,158483,5395,3664416184,0,0
2149276270,1096307312,1117578571,210926069,14252057,251548,0,4092153488,0,0
1952084308,1075229773,1172265351,137766558,18995053,154019,99,3735163470,0,0
2376972505,1106889214,1318819890,197557119,23637187,243569,311,4303227753,0,0
1603552537,1101523018,1292814883,193597327,20209044,169383,3023,3116840965,0,0
1955910297,1116048370,1402034355,161039213,15466267,202926,123,4923554841,0,0
