year,num_stars,num_planets,num_habitable_planets,num_life,num_complex_life,num_intelligent_life,num_cultural_life,N,N_extinct
5326000000,90415191371.40141,36166076548.560524,29605159335.343094,24707771714.083355,14062792870.203629,6860689828.440839,426499371.81957686,61716584.51584259,115869085974.09518
5327000000,90417878760.0447,36167151504.01784,29608439793.949703,24712120659.820347,14066098608.765285,6862375681.389984,426604233.6628913,61731765.34290173,115930802558.61102
5328000000,90420564820.27068,36168225928.10823,29611719149.804737,24716468457.7318,14069403675.316397,6864061206.085444,426709075.0997696,61746943.21700874,115992534323.95392
5329000000,90423249552.77414,36169299821.10962,29614997403.19389,24720815107.884853,14072708069.731066,6865746402.45042,426813896.125425,61762118.137469545,116054281267.17093
5330000000,90425932958.24945,36170373183.29974,29618274554.402847,24725160610.34686,14076011791.883656,6867431270.408252,426918696.73507905,61777290.10359125,116116043385.3084
5331000000,90428615037.39053,36171446014.95618,29621550603.717297,24729504965.185383,14079314841.648787,6869115809.882415,427023476.92396235,61792459.11468222,116177820675.41199
5332000000,90431295790.89085,36172518316.35631,29624825551.422916,24733848172.468216,14082617218.901335,6870800020.796523,427128236.6873137,61807625.17005208,116239613134.52667
5333000000,90433975219.44348,36173590087.77736,29628099397.80538,24738190232.263355,14085918923.51643,6872483903.0743265,427232976.02038026,61822788.26901169,116301420759.69673
5334000000,90436653323.74104,36174661329.49638,29631372143.150368,24742531144.639015,14089219955.369461,6874167456.639713,427337694.9184181,61837948.41087309,116363243547.96574
5335000000,90439330104.47572,36175732041.79026,29634643787.74354,24746870909.663624,14092520314.336073,6875850681.416707,427442393.3766917,61853105.59494965,116425081496.37662
5336000000,90442005562.33928,36176802224.935684,29637914331.870564,24751209527.40583,14095820000.292166,6877533577.329471,427547071.39047396,61868259.82055587,116486934601.97157
5337000000,90444679698.02304,36177871879.20919,29641183775.817097,24755546997.93449,14099119013.113894,6879216144.3023,427651728.9550463,61883411.08700753,116548802861.79213
5338000000,90447352512.21791,36178941004.88714,29644452119.868793,24759883321.318672,14102417352.67767,6880898382.259632,427756366.0656986,61898559.39362171,116610686272.87914
